Model,RMSE,MAE,MAPE,R2,CV_RMSE,CV_Std
HistGradientBoosting,12178.347388180855,4832.444922513413,0.009361526658979486,0.9942946016583956,13066.601173184865,2433.7746123865304
LightGBM,12232.80931244684,5262.132579413531,0.010350710350198938,0.9942434581407249,14655.082538002218,3770.215349305033
Random Forest,13388.763977041841,4389.782379000582,0.00807024348251016,0.9931041115659776,15886.832689933488,2168.131336207438
