model,rmse,mae,mape,r2,cv_rmse_mean,cv_rmse_std
LightGBM,97255.17319980772,72593.18591750176,0.1575504080611883,0.5663829420022218,107784.35274215191,6798.7223654795625
HistGradientBoosting,98174.86673815887,72598.30194035376,0.15738639951773345,0.5581431662719374,108856.24248055641,7334.257195684056
GradientBoosting,98746.88896577369,73483.47675640126,0.16019199181266436,0.5529791507454704,108330.3584650346,8073.867429986247
Random Forest,103001.2984355846,78763.01103714513,0.17422174513051603,0.5136304983367881,115650.61317118024,4555.534406340833
ExtraTrees,116067.67602192814,88397.0727274569,0.19544708795875415,0.3824053674774367,125760.79462704023,6795.438319753892
