Store ID,Store name,Country name,Country short name,Year,actual_turnover,predicted_turnover,residual,pct_diff,abs_pct_diff,performance_flag
3080,Store 1,Österreich,AT,2023,249494.68529999998,251440.48527561512,-1945.7999756151403,-0.0077386104846332215,0.0077386104846332215,In line
3086,Store 2,Österreich,AT,2023,627542.0810999918,626319.3122179275,1222.7688820642652,0.001952309082940753,0.001952309082940753,In line
3090,Store 3,Österreich,AT,2023,327575.5424999991,326283.1989708046,1292.3435291945352,0.003960803171205185,0.003960803171205185,In line
3094,Store 4,Österreich,AT,2023,520206.64829999546,520450.0634012914,-243.41510129591916,-0.0004677011656125685,0.0004677011656125685,In line
3098,Store 5,Österreich,AT,2023,347417.58599999914,344858.3373878484,2559.2486121507245,0.007421159167952607,0.007421159167952607,In line
3110,Store 7,Österreich,AT,2023,495812.2063499946,497232.35973682057,-1420.1533868259867,-0.0028561161779125915,0.0028561161779125915,In line
3111,Store 8,Österreich,AT,2023,709349.45264999,708614.4810881196,734.9715618704213,0.0010371952330720492,0.0010371952330720492,In line
3116,Store 9,Österreich,AT,2023,601042.1048999927,599895.3230086813,1146.7818913114024,0.0019116366594756848,0.0019116366594756848,In line
3118,Store 10,Österreich,AT,2023,606002.1236999928,606380.8206879605,-378.69698796770535,-0.0006245200623892759,0.0006245200623892759,In line
3119,Store 11,Österreich,AT,2023,334302.21989999904,333841.26609562495,460.9538043740904,0.001380757417335146,0.001380757417335146,In line
3124,Store 12,Österreich,AT,2023,744301.3333499882,743958.2112118541,343.12213813408744,0.00046121157474042295,0.00046121157474042295,In line
3127,Store 13,Österreich,AT,2023,450222.50249999727,450210.86960197875,11.632898018520791,2.583877645780781e-05,2.583877645780781e-05,In line
3130,Store 14,Österreich,AT,2023,790072.5338999872,790603.3185101849,-530.7846101976465,-0.0006713665346078468,0.0006713665346078468,In line
3132,Store 16,Österreich,AT,2023,534143.2207499945,534178.1509108478,-34.93016085331328,-6.539047093886658e-05,6.539047093886658e-05,In line
3136,Store 17,Österreich,AT,2023,684213.836399991,685442.6313724557,-1228.7949724647915,-0.0017927028699752541,0.0017927028699752541,In line
3137,Store 18,Österreich,AT,2023,504509.6501999955,502500.7773459054,2008.872854090121,0.003997750739213837,0.003997750739213837,In line
3139,Store 19,Österreich,AT,2023,416885.90354999725,418936.7635251475,-2050.8599751502625,-0.004895392702930344,0.004895392702930344,In line
314,Store 20,Deutschland,DE,2023,376782.1069499982,375529.113871386,1252.9930786121986,0.003336607022808178,0.003336607022808178,In line
3140,Store 21,Österreich,AT,2023,617619.5284499918,617583.4438053578,36.0846446340438,5.842877589415513e-05,5.842877589415513e-05,In line
3143,Store 23,Österreich,AT,2023,272027.97809999995,273039.98276328034,-1012.004663280386,-0.0037064339553440854,0.0037064339553440854,In line
3146,Store 24,Österreich,AT,2023,438814.6123499964,438786.95569472463,27.656655271770433,6.302980276152939e-05,6.302980276152939e-05,In line
3147,Store 25,Österreich,AT,2023,687698.237699991,687040.3566395584,657.8810604325263,0.0009575581027733863,0.0009575581027733863,In line
3151,Store 27,Österreich,AT,2023,403842.2831999973,403532.8645948614,309.4186051359284,0.0007667742389373372,0.0007667742389373372,In line
3152,Store 28,Österreich,AT,2023,382589.1872999982,381123.7274212324,1465.4598787658033,0.00384510271423254,0.00384510271423254,In line
3153,Store 29,Österreich,AT,2023,649399.530149992,650050.6687694176,-651.1386194255902,-0.0010016736397767763,0.0010016736397767763,In line
3154,Store 30,Österreich,AT,2023,476830.71089999634,475444.0828056889,1386.628094307438,0.0029164903812130194,0.0029164903812130194,In line
3156,Store 32,Österreich,AT,2023,450534.7331999964,453716.8692523154,-3182.136052318965,-0.007013484108631092,0.007013484108631092,In line
3158,Store 33,Österreich,AT,2023,909654.4862999821,899690.0812772312,9964.405022750841,0.011075374987579085,0.011075374987579085,In line
3159,Store 34,Österreich,AT,2023,1035364.436999982,1034719.8064916148,644.630508367205,0.0006230000666102345,0.0006230000666102345,In line
3161,Store 35,Österreich,AT,2023,464836.4981999964,464724.6127297408,111.8854702556273,0.00024075649791480692,0.00024075649791480692,In line
3162,Store 36,Österreich,AT,2023,723837.3434999901,725333.9265241137,-1496.5830241236836,-0.0020633021142351456,0.0020633021142351456,In line
3163,Store 37,Österreich,AT,2023,760639.2074999892,759571.2088455461,1067.9986544430722,0.0014060546819123086,0.0014060546819123086,In line
3164,Store 38,Österreich,AT,2023,422917.6130999973,423342.3440440637,-424.73094406642485,-0.001003280087715999,0.001003280087715999,In line
3165,Store 39,Österreich,AT,2023,469118.21894999547,468862.9675048756,255.25144511985127,0.0005444052160447007,0.0005444052160447007,In line
3166,Store 40,Österreich,AT,2023,451933.41689999634,453784.83861927263,-1851.421719276288,-0.004079954995652992,0.004079954995652992,In line
3167,Store 41,Österreich,AT,2023,846261.9220499864,846833.3908880843,-571.4688380978769,-0.0006748303081183073,0.0006748303081183073,In line
3168,Store 42,Österreich,AT,2023,561488.2172999936,563395.6260673478,-1907.408767354209,-0.0033855583520738925,0.0033855583520738925,In line
317,Store 44,Deutschland,DE,2023,391061.41874999827,390341.3333514538,720.085398544441,0.0018447582590391308,0.0018447582590391308,In line
3173,Store 45,Österreich,AT,2023,850833.1529999874,851380.0554759996,-546.9024760122411,-0.0006423717263454949,0.0006423717263454949,In line
3174,Store 46,Österreich,AT,2023,633868.2823499927,633565.2062069701,303.0761430225102,0.0004783661414062923,0.0004783661414062923,In line
3175,Store 47,Österreich,AT,2023,481761.36314999545,480523.06113809574,1238.3020118997083,0.0025769876870567867,0.0025769876870567867,In line
